                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4267,                0.51682,                 1.2507,                0.99107,                0.98505,                0.99282,                0.59361,                 1.4547,                0.42241,                 1.3207,               9.67e-05,               9.67e-05,               9.67e-05
                     35,                 1.4138,                0.51407,                 1.2468,                0.98655,                0.98505,                 0.9925,                0.59512,                  1.451,                 0.4243,                 1.3255,               9.66e-05,               9.66e-05,               9.66e-05
                     36,                 1.4289,                0.52314,                 1.2512,                0.98755,                0.98339,                0.99104,                0.59293,                 1.4591,                 0.4234,                 1.3149,               9.65e-05,               9.65e-05,               9.65e-05
                     37,                 1.4141,                0.51863,                  1.241,                0.98721,                0.98339,                0.99099,                 0.5931,                 1.4642,                 0.4232,                 1.3136,               9.64e-05,               9.64e-05,               9.64e-05
                     38,                 1.4354,                0.52196,                 1.2528,                0.98998,                0.98502,                0.99072,                0.59012,                 1.4612,                 0.4275,                 1.3546,               9.63e-05,               9.63e-05,               9.63e-05
                     39,                 1.4231,                0.51896,                 1.2513,                0.98831,                0.98277,                0.99213,                0.59285,                  1.456,                 0.4191,                 1.3396,               9.62e-05,               9.62e-05,               9.62e-05
                     40,                 1.4158,                0.51147,                 1.2535,                0.98499,                0.98173,                0.98838,                0.59573,                 1.4373,                0.41353,                 1.3371,               9.61e-05,               9.61e-05,               9.61e-05
                     41,                 1.4304,                0.51951,                 1.2576,                0.98652,                0.98505,                0.99009,                0.59632,                 1.4428,                0.41722,                 1.3469,                9.6e-05,                9.6e-05,                9.6e-05
                     42,                 1.4091,                0.51522,                 1.2581,                0.98893,                0.98671,                0.99124,                 0.5988,                 1.4496,                0.41878,                 1.3624,               9.59e-05,               9.59e-05,               9.59e-05
                     43,                 1.4083,                  0.508,                 1.2611,                0.98501,                0.98234,                0.98889,                0.60062,                 1.4463,                 0.4152,                 1.3458,               9.58e-05,               9.58e-05,               9.58e-05
                     44,                  1.416,                0.51006,                 1.2621,                0.98669,                0.98524,                0.99079,                0.60134,                 1.4438,                0.41583,                 1.3469,               9.57e-05,               9.57e-05,               9.57e-05
                     45,                 1.4186,                0.51496,                 1.2635,                0.98592,                0.98339,                0.99029,                0.60051,                 1.4394,                0.41629,                 1.3455,               9.56e-05,               9.56e-05,               9.56e-05
                     46,                  1.412,                0.50474,                 1.2402,                0.99165,                0.98634,                0.99364,                0.60015,                 1.4509,                0.41235,                 1.3283,               9.55e-05,               9.55e-05,               9.55e-05
                     47,                 1.4135,                0.50965,                 1.2555,                0.98406,                0.98505,                0.99202,                0.59377,                 1.4428,                0.41375,                 1.3218,               9.54e-05,               9.54e-05,               9.54e-05
                     48,                 1.4058,                 0.5101,                 1.2489,                0.98503,                0.98671,                0.99146,                 0.6021,                 1.4434,                0.41547,                 1.3486,               9.53e-05,               9.53e-05,               9.53e-05
                     49,                 1.4073,                0.51195,                 1.2474,                0.98995,                0.98505,                0.99184,                  0.598,                 1.4426,                 0.4146,                 1.3444,               9.52e-05,               9.52e-05,               9.52e-05
                     50,                 1.4037,                0.51204,                 1.2582,                0.98834,                0.98574,                0.99158,                0.60578,                  1.431,                0.41278,                 1.3473,               9.51e-05,               9.51e-05,               9.51e-05
                     51,                  1.422,                0.51221,                 1.2535,                0.98498,                0.98671,                0.99247,                0.60292,                 1.4368,                0.41179,                 1.3487,                9.5e-05,                9.5e-05,                9.5e-05
                     52,                 1.4042,                0.50356,                 1.2578,                0.98998,                0.98475,                0.99072,                0.60497,                 1.4273,                0.41578,                 1.3369,             9.4901e-05,             9.4901e-05,             9.4901e-05
                     53,                 1.4118,                0.50826,                 1.2627,                0.98869,                0.98505,                0.99146,                0.60511,                 1.4261,                0.41466,                 1.3631,             9.4801e-05,             9.4801e-05,             9.4801e-05
                     54,                 1.3694,                0.49019,                 1.2481,                0.98675,                0.98671,                 0.9915,                0.60447,                 1.4299,                0.41765,                 1.3546,             9.4701e-05,             9.4701e-05,             9.4701e-05
                     55,                 1.3933,                0.50696,                 1.2518,                0.98497,                0.98339,                0.99083,                0.60396,                 1.4297,                 0.4116,                 1.3318,             9.4601e-05,             9.4601e-05,             9.4601e-05
                     56,                 1.3833,                0.50546,                 1.2451,                0.98623,                0.98339,                0.98885,                 0.6035,                 1.4302,                0.41669,                 1.3509,             9.4501e-05,             9.4501e-05,             9.4501e-05
                     57,                 1.4067,                0.51163,                 1.2621,                0.97837,                0.97841,                0.98618,                0.60102,                 1.4336,                0.41517,                 1.3561,             9.4401e-05,             9.4401e-05,             9.4401e-05
                     58,                 1.3759,                0.50041,                 1.2531,                0.98733,                0.98671,                0.99037,                0.60282,                 1.4424,                0.41187,                  1.358,             9.4301e-05,             9.4301e-05,             9.4301e-05
                     59,                  1.394,                0.50076,                 1.2547,                0.98909,                0.98339,                0.99146,                0.60557,                 1.4398,                0.41228,                 1.3492,             9.4201e-05,             9.4201e-05,             9.4201e-05
                     60,                 1.3737,                0.48896,                 1.2412,                0.98304,                0.98339,                0.98934,                0.60552,                 1.4392,                0.41034,                 1.3498,             9.4101e-05,             9.4101e-05,             9.4101e-05
                     61,                 1.3871,                0.50143,                  1.259,                0.98631,                0.98671,                 0.9924,                0.60188,                 1.4424,                0.41324,                 1.3544,             9.4001e-05,             9.4001e-05,             9.4001e-05
                     62,                 1.3797,                0.49456,                 1.2506,                0.98703,                0.98339,                0.98982,                0.60127,                 1.4453,                0.41097,                 1.3521,             9.3901e-05,             9.3901e-05,             9.3901e-05
                     63,                 1.3944,                0.48953,                 1.2589,                0.98831,                0.98266,                0.98973,                0.60666,                 1.4297,                 0.4111,                 1.3507,             9.3801e-05,             9.3801e-05,             9.3801e-05
                     64,                 1.3889,                0.50029,                 1.2507,                0.98903,                0.98671,                0.99253,                0.60406,                 1.4412,                0.41276,                 1.3475,             9.3701e-05,             9.3701e-05,             9.3701e-05
